Original_file	Chromosome	SNP_pos	GWAS p-value	FDR_rejected	FDR_adjusted_p-value	Gene_start	Gene_end	Gene_orientation	Distance Gene	SNP relative position	target AGI	target element type	short symbol	long symbol	short description	long description
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3453228	3460620	+	-11007	downstream	AT1G10490	gene	None	None	None	ID=AT1G10490;Note=protein_coding_gene;Name=AT1G10490
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3453228	3460620	+	-11007	downstream	AT1G10490.1	mRNA	None	None	Domain of unknown function (DUF1726) ;Putative ATPase (DUF699)	CONTAINS InterPro DOMAIN/s: Domain of unknown function DUF1726 (InterPro:IPR013562), Domain  of unknown function DUF699, exodeoxyribonuclease V alpha chain (InterPro:IPR007807); BEST Arabidopsis thaliana protein match is: Domain of unknown function (DUF1726) ;Putative ATPase (DUF699) (TAIR:AT3G57940.1); Has 1351 Blast hits to 1310 proteins in 616 species: Archae - 139; Bacteria - 698; Metazoa - 170; Fungi - 143; Plants - 51; Viruses - 0; Other Eukaryotes - 150 (source: NCBI BLink).
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3461635	3465786	+	-2600	in gene	AT1G10510	gene	emb2004	embryo defective 2004	None	ID=AT1G10510;Note=protein_coding_gene;Name=AT1G10510
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3461635	3465786	+	-2600	in gene	AT1G10510.1	mRNA	emb2004	embryo defective 2004	RNI-like superfamily protein	embryo defective 2004 (emb2004); INVOLVED IN: embryo development ending in seed dormancy; LOCATED IN: mitochondrion, chloroplast, plastid, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: RAN GTPase activating protein 1 (TAIR:AT3G63130.2); Has 21704 Blast hits to 6781 proteins in 315 species: Archae - 0; Bacteria - 982; Metazoa - 9646; Fungi - 490; Plants - 1111; Viruses - 0; Other Eukaryotes - 9475 (source: NCBI BLink).
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3465964	3469248	+	1729	upstream	AT1G10520	gene	Pol{lambda}	DNA polymerase {lambda}	None	ID=AT1G10520;Note=protein_coding_gene;Name=AT1G10520
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3465964	3469248	+	1729	upstream	AT1G10520.1	mRNA	Pol{lambda}	DNA polymerase {lambda}	DNA polymerase lambda (POLL)	DNA polymerase lambda (POLL); FUNCTIONS IN: DNA binding, DNA-directed DNA polymerase activity, catalytic activity, nucleotidyltransferase activity; INVOLVED IN: DNA repair, DNA replication; LOCATED IN: intracellular; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Nucleotidyl transferase domain (InterPro:IPR002934), DNA-directed DNA polymerase, family X, beta-like (InterPro:IPR002008), DNA-directed DNA polymerase, family X, beta-like, N-terminal (InterPro:IPR010996), DNA polymerase lambda, fingers domain (InterPro:IPR018944), DNA polymerase family X, binding site (InterPro:IPR019843), DNA-directed DNA polymerase X (InterPro:IPR002054), BRCT (InterPro:IPR001357), DNA polymerase X (InterPro:IPR022312); Has 1887 Blast hits to 1879 proteins in 557 species: Archae - 50; Bacteria - 688; Metazoa - 533; Fungi - 209; Plants - 50; Viruses - 7; Other Eukaryotes - 350 (source: NCBI BLink).
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3460000	3461485	-	-2750	upstream	AT1G10500	gene	CPISCA	chloroplast-localized ISCA-like protein	None	ID=AT1G10500;Note=protein_coding_gene;Name=AT1G10500
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	1	3464235	1.76912550728e-07	1.000000	0.035371	3460000	3461485	-	-2750	upstream	AT1G10500.1	mRNA	CPISCA	chloroplast-localized ISCA-like protein	chloroplast-localized ISCA-like protein	chloroplast-localized ISCA-like protein (CPISCA); CONTAINS InterPro DOMAIN/s: FeS cluster insertion, C-terminal, conserved site (InterPro:IPR017870), FeS cluster biogenesis (InterPro:IPR000361), FeS cluster insertion (InterPro:IPR016092); BEST Arabidopsis thaliana protein match is: Iron-sulphur cluster biosynthesis family protein (TAIR:AT5G03905.1); Has 10385 Blast hits to 10384 proteins in 1842 species: Archae - 43; Bacteria - 5944; Metazoa - 237; Fungi - 240; Plants - 172; Viruses - 0; Other Eukaryotes - 3749 (source: NCBI BLink).
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	5	21621187	4.63506623764e-07	1.000000	0.046336	21623548	21623661	+	2361	upstream	sORF7621	sorf	None	None	None	sORF7621.1;protein_coding
rh.maf0.05_emmax.pvals_pid_67_ABA2_Mean_LR.no.pvals	5	21621187	4.63506623764e-07	1.000000	0.046336	21617813	21619267	-	-1920	upstream	AT5G53290	gene	CRF3	cytokinin response factor 3	None	ID=AT5G53290;Note=protein_coding_gene;Name=AT5G53290
